timestamp,book_d_v1,book_d_v2,book_imbalance_v1,book_imbalance_v2,mid_price,mean_price
12:31.0,1.3213389700000002,51773402.11164,0.47049098193877464,0.47071279518876236,39158000.0,39156800.0
12:31.1,2.88977244,111078022.12237,0.34214815456646364,0.33995728196001657,38760000.0,38769150.0
12:31.2,-4.41675545,-171990166.39331,-0.5689885131476933,-0.5693246682760943,38851000.0,38854650.0
12:31.3,4.4999913399999985,174474901.91648984,0.227151435010499,0.22647229282167164,38646500.0,38735550.0
12:31.4,0.6736961299999997,26462517.48128,0.0554556426776819,0.05650325868663179,38503500.0,38520066.666666664
12:31.6,-1.9960866600000005,-76244593.57777,-0.2495173698550903,-0.24761106212703796,38552000.0,38548650.0
12:31.7,4.327434429999999,169437424.95783,0.8544750726276805,0.8546030555439358,39123500.0,39131500.0
12:31.9,8.27606962,321559067.39537007,0.5742037977836085,0.5759275312160509,38668000.0,38667200.0
12:32.0,1.9035090000000001,74325990.40369,0.47410851469909526,0.47422528750284915,39033500.0,39034300.0
12:32.1,0.9859638900000003,38695521.859850004,0.17075893935133712,0.1713304926282486,39110500.0,39113000.0
12:32.2,2.0687896,79572547.64577001,0.24921753756482973,0.24881479195168285,38528000.0,38539250.0
12:32.3,0.8509489100000014,33296724.05448991,0.06164242090527126,0.061778936027935154,38827500.0,38918000.0
12:32.4,3.4669497299999996,132820018.32164997,0.1619553091461383,0.16039265071839992,38642500.0,38609200.0
12:32.5,-1.70819183,-65594103.868439995,-0.9870112466026113,-0.9870069834616404,38405500.0,38407500.0
12:32.6,2.3792361,91853884.67187,0.6648700673800043,0.6653420629355625,38552000.0,38550100.0
12:32.7,2.6233699,102734806.60091999,0.5229171040305622,0.5232297960244138,39123500.0,39130650.0
12:32.9,0.8392593000000002,32329283.35836999,0.16863002144600497,0.1688891362489412,38460500.0,38461100.0
12:33.0,9.370285110000001,364700324.96733004,0.7051160968165138,0.7049424564324047,38951000.0,38953800.0
12:33.1,2.2519875500000004,88153948.58728999,0.3198830480088375,0.3201970929089917,39107000.0,39112100.0
12:33.2,1.97217669,75850982.88714999,0.24037665250800733,0.23997037859385129,38528000.0,38537900.0
12:33.3,-3.1019086999999996,-121206767.06736,-0.6360402573579106,-0.635793628319963,39087500.0,39099900.0
12:33.4,2.418411409999999,95124386.8576799,0.10975016555966256,0.1111936116710791,38647000.0,38735900.0
12:33.5,-1.1935281699999996,-45333600.27588001,-0.08555887571196769,-0.08432645422925829,38503500.0,38519466.666666664
12:33.6,-4.11493356,-158085285.78274,-0.7888924133255791,-0.7887734432171687,38429000.0,38430700.0
12:33.7,1.7133082699999997,66245996.30372001,0.7796425310062265,0.7796680488256498,38663500.0,38662500.0
12:33.8,3.6181994,141703846.05889,0.6019083388769729,0.6022257798644941,39123500.0,39131000.0
12:33.9,0.8392593000000002,32329283.35836999,0.16863002144600497,0.1688891362489412,38460500.0,38461100.0
12:34.0,10.68828223,415960049.56856996,0.7418815303689227,0.7416812578561928,38958500.0,38955400.0
12:34.1,1.2220253500000002,47884773.608830005,0.4508246088007262,0.4510591640542856,39159000.0,39157800.0
12:34.2,4.102314629999999,158500158.84631,0.4247357465963531,0.42361230603497024,38760000.0,38766900.0
12:34.3,-4.32449413,-168384100.89726,-0.5667823750513125,-0.5671149909340025,38851000.0,38854650.0
12:34.4,-0.028627660000003274,888685.4464298487,-0.0011910237628580816,0.000953209781977332,38647000.0,38735450.0
12:34.5,1.56180274,60803511.87837994,0.13682293630851977,0.13820298353686084,38503500.0,38517433.333333336
12:34.7,-0.8819079400000001,-33443522.631960005,-0.12947453786117488,-0.12751621981237474,38550000.0,38548850.0
12:34.8,3.6501734600000004,142954869.17903,0.6104541455645066,0.6107682035731444,39127500.0,39131750.0
12:35.0,9.559079010000001,371441206.93708,0.6248235408550733,0.6265842687711705,38668000.0,38668200.0
12:35.1,2.13209976,83249558.68229,0.5547267692873232,0.5548411019326004,39036500.0,39035300.0
12:35.2,2.5153459599999994,98425441.71679999,0.3873711507402779,0.38759010179815945,39107000.0,39112600.0
12:35.3,1.6470206799999998,63294864.53786999,0.20900187672445952,0.20850263521067847,38528000.0,38537900.0
12:35.4,0.9562292900000005,37498089.67842001,0.07928249983320886,0.07952743154435983,39084500.0,39094100.0
12:35.5,-4.651872939999998,-179071529.35077998,-0.30562747410703167,-0.3042130797300376,38647000.0,38618200.0
12:35.6,4.14187819,160246356.99185002,0.40548222074059453,0.40692155413511744,38503500.0,38516266.666666664
12:35.7,-3.65489278,-140403846.94720003,-0.644424649222938,-0.6442350564470576,38436500.0,38435200.0
